locus_tag	ftype	length_bp	gene	EC_number	COG	product
Patescibacteria_metaspades_Bin_10_2-contigs_00001	CDS	1233				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00002	CDS	1422	pyk	2.7.1.40		Pyruvate kinase
Patescibacteria_metaspades_Bin_10_2-contigs_00003	CDS	357				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00004	CDS	255				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00005	CDS	360				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00006	CDS	591	engB		COG0218	putative GTP-binding protein EngB
Patescibacteria_metaspades_Bin_10_2-contigs_00007	CDS	771				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00008	CDS	1074				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00009	CDS	675				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00010	CDS	1698				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00011	CDS	552				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00012	CDS	1128				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00013	CDS	417				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00014	CDS	1056	ydiK		COG0628	Putative transport protein YdiK
Patescibacteria_metaspades_Bin_10_2-contigs_00015	CDS	621	resA			Thiol-disulfide oxidoreductase ResA
Patescibacteria_metaspades_Bin_10_2-contigs_00016	CDS	489				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00017	CDS	1608				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00018	CDS	1026				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00019	CDS	1758				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00020	CDS	1335				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00021	CDS	441	rplI		COG0359	50S ribosomal protein L9
Patescibacteria_metaspades_Bin_10_2-contigs_00022	CDS	714				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00023	CDS	1470		2.7.7.-	COG0617	CC-adding tRNA nucleotidyltransferase
Patescibacteria_metaspades_Bin_10_2-contigs_00024	CDS	426				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00025	CDS	471				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00026	CDS	408				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00027	tRNA	72				tRNA-Gln(ttg)
Patescibacteria_metaspades_Bin_10_2-contigs_00028	CDS	987				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00029	CDS	1665	pyrG	6.3.4.2		CTP synthase
Patescibacteria_metaspades_Bin_10_2-contigs_00030	CDS	921	ftsX		COG2177	Cell division protein FtsX
Patescibacteria_metaspades_Bin_10_2-contigs_00031	CDS	684	ftsE		COG2884	Cell division ATP-binding protein FtsE
Patescibacteria_metaspades_Bin_10_2-contigs_00032	tRNA	74				tRNA-Thr(ggt)
Patescibacteria_metaspades_Bin_10_2-contigs_00033	tRNA	75				tRNA-Asp(gtc)
Patescibacteria_metaspades_Bin_10_2-contigs_00034	CDS	231				hypothetical protein
Patescibacteria_metaspades_Bin_10_2-contigs_00035	tRNA	77				tRNA-Met(cat)
Patescibacteria_metaspades_Bin_10_2-contigs_00036	CDS	705	glmU	2.7.7.23		Bifunctional protein GlmU
