locus_tag	ftype	length_bp	gene	EC_number	COG	product
Patescibacteria_metaspades_Bin_8_1-contigs_00001	rRNA	2616				23S ribosomal RNA
Patescibacteria_metaspades_Bin_8_1-contigs_00002	CDS	681				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00003	CDS	2910	uvrA		COG0178	UvrABC system protein A
Patescibacteria_metaspades_Bin_8_1-contigs_00004	CDS	996	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
Patescibacteria_metaspades_Bin_8_1-contigs_00005	CDS	444	hpf			Ribosome hibernation promoting factor
Patescibacteria_metaspades_Bin_8_1-contigs_00006	CDS	2451	secA		COG0653	Protein translocase subunit SecA
Patescibacteria_metaspades_Bin_8_1-contigs_00007	CDS	651				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00008	CDS	2358				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00009	CDS	393				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00010	CDS	1053	epsF_1		COG1459	Type II secretion system protein F
Patescibacteria_metaspades_Bin_8_1-contigs_00011	CDS	1695				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00012	CDS	402				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00013	CDS	942				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00014	CDS	156				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00015	CDS	1446	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
Patescibacteria_metaspades_Bin_8_1-contigs_00016	CDS	354				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00017	CDS	405				Protein archease
Patescibacteria_metaspades_Bin_8_1-contigs_00018	CDS	795				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00019	CDS	1350	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
Patescibacteria_metaspades_Bin_8_1-contigs_00020	CDS	561	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
Patescibacteria_metaspades_Bin_8_1-contigs_00021	CDS	603				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00022	tRNA	74				tRNA-Lys(ctt)
Patescibacteria_metaspades_Bin_8_1-contigs_00023	CDS	270	rpsO			30S ribosomal protein S15
Patescibacteria_metaspades_Bin_8_1-contigs_00024	CDS	510				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00025	CDS	2121	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
Patescibacteria_metaspades_Bin_8_1-contigs_00026	CDS	456	rpsI			30S ribosomal protein S9
Patescibacteria_metaspades_Bin_8_1-contigs_00027	CDS	372	rplM		COG0102	50S ribosomal protein L13
Patescibacteria_metaspades_Bin_8_1-contigs_00028	CDS	351	rplQ			50S ribosomal protein L17
Patescibacteria_metaspades_Bin_8_1-contigs_00029	CDS	936	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
Patescibacteria_metaspades_Bin_8_1-contigs_00030	CDS	645	rpsD		COG0522	30S ribosomal protein S4
Patescibacteria_metaspades_Bin_8_1-contigs_00031	CDS	459				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00032	CDS	390	rpsM			30S ribosomal protein S13
Patescibacteria_metaspades_Bin_8_1-contigs_00033	CDS	222	infA		COG0361	Translation initiation factor IF-1
Patescibacteria_metaspades_Bin_8_1-contigs_00034	CDS	1215				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00035	CDS	1779				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00036	CDS	423				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00037	CDS	417				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00038	CDS	513				hypothetical protein
Patescibacteria_metaspades_Bin_8_1-contigs_00039	CDS	180	tpiA	5.3.1.1		Triosephosphate isomerase
Patescibacteria_metaspades_Bin_8_1-contigs_00040	CDS	204	secE			Protein translocase subunit SecE
