locus_tag	ftype	length_bp	gene	EC_number	COG	product
Desulfotomaculum_metaspades_Bin_2_1-contigs_00001	CDS	291				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00002	CDS	1035	hrcA		COG1420	Heat-inducible transcription repressor HrcA
Desulfotomaculum_metaspades_Bin_2_1-contigs_00003	CDS	1566	groL_1			60 kDa chaperonin
Desulfotomaculum_metaspades_Bin_2_1-contigs_00004	CDS	417	grpE		COG0576	Protein GrpE
Desulfotomaculum_metaspades_Bin_2_1-contigs_00005	CDS	1857	dnaK		COG0443	Chaperone protein DnaK
Desulfotomaculum_metaspades_Bin_2_1-contigs_00006	CDS	222				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00007	CDS	234				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00008	CDS	327				Membrane-associated protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00009	CDS	543				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00010	CDS	999				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00011	CDS	375				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00012	CDS	1338	nrgA			Ammonium transporter
Desulfotomaculum_metaspades_Bin_2_1-contigs_00013	CDS	336	glnB_1		COG0347	Nitrogen regulatory protein P-II
Desulfotomaculum_metaspades_Bin_2_1-contigs_00014	CDS	231				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00015	CDS	363		2.4.1.11	COG0438	Glycogen synthase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00016	CDS	1302	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00017	CDS	255				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00018	CDS	900	typA_1		COG1217	GTP-binding protein TypA/BipA 
Desulfotomaculum_metaspades_Bin_2_1-contigs_00019	CDS	393	typA_2		COG1217	GTP-binding protein TypA/BipA
Desulfotomaculum_metaspades_Bin_2_1-contigs_00020	CDS	771	glnQ			Glutamine transport ATP-binding protein GlnQ
Desulfotomaculum_metaspades_Bin_2_1-contigs_00021	CDS	318				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00022	CDS	1818				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00023	CDS	558				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00024	CDS	870	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
Desulfotomaculum_metaspades_Bin_2_1-contigs_00025	CDS	939				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00026	CDS	777	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
Desulfotomaculum_metaspades_Bin_2_1-contigs_00027	CDS	984	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00028	CDS	585				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00029	CDS	627				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00030	CDS	2649		2.7.7.-	COG0517	A-adding tRNA nucleotidyltransferase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00031	CDS	1299	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00032	CDS	882	era		COG1159	GTPase Era
Desulfotomaculum_metaspades_Bin_2_1-contigs_00033	CDS	420	cdd	3.5.4.5	COG0295	Cytidine deaminase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00034	CDS	459	ybeY	3.1.-.-		Endoribonuclease YbeY
Desulfotomaculum_metaspades_Bin_2_1-contigs_00035	CDS	2133	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
Desulfotomaculum_metaspades_Bin_2_1-contigs_00036	CDS	966			COG1702	PhoH-like protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00037	CDS	141				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00038	CDS	636			COG1926	putative protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00039	CDS	597	ydfK		COG1811	putative membrane protein YdfK
Desulfotomaculum_metaspades_Bin_2_1-contigs_00040	CDS	885	spo0J		COG1475	Stage 0 sporulation protein J
Desulfotomaculum_metaspades_Bin_2_1-contigs_00041	CDS	774	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
Desulfotomaculum_metaspades_Bin_2_1-contigs_00042	CDS	123				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00043	CDS	849			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
Desulfotomaculum_metaspades_Bin_2_1-contigs_00044	CDS	1413	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
Desulfotomaculum_metaspades_Bin_2_1-contigs_00045	CDS	648	adk	2.7.4.3		Adenylate kinase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00046	CDS	309				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00047	CDS	1155				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00048	CDS	357				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00049	CDS	465	smpB		COG0691	SsrA-binding protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00050	CDS	720	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00051	CDS	225				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00052	CDS	1284	eno	4.2.1.11	COG0148	Enolase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00053	CDS	1428	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00054	CDS	1389				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00055	CDS	798				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00056	CDS	264				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00057	CDS	141				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00058	CDS	177				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00059	CDS	90				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00060	CDS	2496	nadE_1	6.3.5.1		Glutamine-dependent NAD(+) synthetase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00061	CDS	825	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00062	CDS	189				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00063	CDS	2799				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00064	CDS	279				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00065	CDS	603	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
Desulfotomaculum_metaspades_Bin_2_1-contigs_00066	CDS	282	tatA_1			Sec-independent protein translocase protein TatA
Desulfotomaculum_metaspades_Bin_2_1-contigs_00067	CDS	1104				hypothetical protein
Desulfotomaculum_metaspades_Bin_2_1-contigs_00068	CDS	2130	topA	5.6.2.1		DNA topoisomerase 1
Desulfotomaculum_metaspades_Bin_2_1-contigs_00069	CDS	1317	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
Desulfotomaculum_metaspades_Bin_2_1-contigs_00070	CDS	912	xerC		COG4974	Tyrosine recombinase XerC
