locus_tag	ftype	length_bp	gene	EC_number	COG	product
Natronincolaceae_metaspades_Bin_2_1-contigs_00001	CDS	510	engB		COG0218	putative GTP-binding protein EngB
Natronincolaceae_metaspades_Bin_2_1-contigs_00002	CDS	666				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00003	CDS	429	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
Natronincolaceae_metaspades_Bin_2_1-contigs_00004	CDS	930	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
Natronincolaceae_metaspades_Bin_2_1-contigs_00005	CDS	330	ftsH3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 3
Natronincolaceae_metaspades_Bin_2_1-contigs_00006	CDS	831	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
Natronincolaceae_metaspades_Bin_2_1-contigs_00007	CDS	273	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
Natronincolaceae_metaspades_Bin_2_1-contigs_00008	CDS	2568				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00009	CDS	447				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00010	CDS	996	prfB			Peptide chain release factor 2
Natronincolaceae_metaspades_Bin_2_1-contigs_00011	CDS	2679	secA		COG0653	Protein translocase subunit SecA
Natronincolaceae_metaspades_Bin_2_1-contigs_00012	CDS	591				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00013	CDS	537	hpf			Ribosome hibernation promotion factor
Natronincolaceae_metaspades_Bin_2_1-contigs_00014	CDS	486				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00015	CDS	393	fliS		COG1516	Flagellar secretion chaperone FliS
Natronincolaceae_metaspades_Bin_2_1-contigs_00016	CDS	1599	fliD		COG1345	Flagellar hook-associated protein 2
Natronincolaceae_metaspades_Bin_2_1-contigs_00017	CDS	123				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00018	CDS	228				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00019	CDS	381	immR		COG1396	HTH-type transcriptional regulator ImmR
Natronincolaceae_metaspades_Bin_2_1-contigs_00020	CDS	348				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00021	CDS	516				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00022	CDS	390				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00023	CDS	300				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00024	CDS	240				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00025	CDS	174				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00026	CDS	1794	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
Natronincolaceae_metaspades_Bin_2_1-contigs_00027	CDS	1758	hndD	1.12.1.3	COG3383	NADP-reducing hydrogenase subunit HndD
Natronincolaceae_metaspades_Bin_2_1-contigs_00028	CDS	855				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00029	CDS	1518				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00030	CDS	1536				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00031	CDS	831	rbn	3.1.26.11		Ribonuclease BN
Natronincolaceae_metaspades_Bin_2_1-contigs_00032	CDS	2046	ycf3			Photosystem I assembly protein Ycf3
Natronincolaceae_metaspades_Bin_2_1-contigs_00033	CDS	567				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00034	CDS	1350	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
Natronincolaceae_metaspades_Bin_2_1-contigs_00035	CDS	291	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
Natronincolaceae_metaspades_Bin_2_1-contigs_00036	CDS	177				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00037	CDS	702	rnc	3.1.26.3		Ribonuclease 3
Natronincolaceae_metaspades_Bin_2_1-contigs_00038	CDS	3579	smc		COG1196	Chromosome partition protein Smc
Natronincolaceae_metaspades_Bin_2_1-contigs_00039	CDS	939	ftsY		COG0552	Signal recognition particle receptor FtsY
Natronincolaceae_metaspades_Bin_2_1-contigs_00040	CDS	2034	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Natronincolaceae_metaspades_Bin_2_1-contigs_00041	CDS	414				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00042	CDS	597				hypothetical protein
Natronincolaceae_metaspades_Bin_2_1-contigs_00043	CDS	543	grdC	1.21.4.2		Glycine/sarcosine/betaine reductase complex component C subunit beta
Natronincolaceae_metaspades_Bin_2_1-contigs_00044	CDS	1194	grdD	1.21.4.2		Glycine/sarcosine/betaine reductase complex component C subunit alpha
