locus_tag	ftype	length_bp	gene	EC_number	COG	product
UBA7950_metaspades_Bin_1-contigs_00001	CDS	711	fdhD		COG1526	Sulfur carrier protein FdhD
UBA7950_metaspades_Bin_1-contigs_00002	CDS	582	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
UBA7950_metaspades_Bin_1-contigs_00003	CDS	885	folD		COG0190	Bifunctional protein FolD protein
UBA7950_metaspades_Bin_1-contigs_00004	CDS	228				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00005	CDS	270				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00006	CDS	156				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00007	CDS	285			COG4274	Glutamine synthetase and cystathionine beta-lyase binding protein
UBA7950_metaspades_Bin_1-contigs_00008	CDS	483	amiF	3.5.1.49		Formamidase
UBA7950_metaspades_Bin_1-contigs_00009	tRNA	77				tRNA-Pro(tgg)
UBA7950_metaspades_Bin_1-contigs_00010	CDS	1602	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
UBA7950_metaspades_Bin_1-contigs_00011	CDS	321			COG0718	Nucleoid-associated protein
UBA7950_metaspades_Bin_1-contigs_00012	CDS	591	recR		COG0353	Recombination protein RecR
UBA7950_metaspades_Bin_1-contigs_00013	CDS	276				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00014	CDS	987	queG	1.17.99.6		Epoxyqueuosine reductase
UBA7950_metaspades_Bin_1-contigs_00015	CDS	4383	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
UBA7950_metaspades_Bin_1-contigs_00016	CDS	900				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00017	CDS	1773	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
UBA7950_metaspades_Bin_1-contigs_00018	CDS	1968	GATB	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
UBA7950_metaspades_Bin_1-contigs_00019	CDS	1392				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00020	CDS	507				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00021	CDS	165				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00022	CDS	1524	accC	6.3.4.14	COG0439	Biotin carboxylase
UBA7950_metaspades_Bin_1-contigs_00023	CDS	2037	pycA	6.4.1.1		Pyruvate carboxylase
UBA7950_metaspades_Bin_1-contigs_00024	CDS	660				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00025	CDS	1215				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00026	CDS	279				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00027	CDS	441				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00028	CDS	2793				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00029	CDS	159				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00030	CDS	1776				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00031	CDS	1308				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00032	CDS	1506	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
UBA7950_metaspades_Bin_1-contigs_00033	CDS	240				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00034	CDS	558				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00035	CDS	2697	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
UBA7950_metaspades_Bin_1-contigs_00036	CDS	174				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00037	CDS	807				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00038	CDS	351				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00039	CDS	195				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00040	CDS	213				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00041	CDS	852	atpG		COG0224	ATP synthase gamma chain
UBA7950_metaspades_Bin_1-contigs_00042	CDS	1512	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
UBA7950_metaspades_Bin_1-contigs_00043	CDS	534	atpH		COG0712	ATP synthase subunit delta
UBA7950_metaspades_Bin_1-contigs_00044	CDS	531	atpF			ATP synthase subunit b, sodium ion specific
UBA7950_metaspades_Bin_1-contigs_00045	CDS	276	atpE			ATP synthase subunit c, sodium ion specific
UBA7950_metaspades_Bin_1-contigs_00046	CDS	693	atpB		COG0356	ATP synthase subunit a
UBA7950_metaspades_Bin_1-contigs_00047	CDS	396				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00048	CDS	558	frr		COG0233	Ribosome-recycling factor
UBA7950_metaspades_Bin_1-contigs_00049	CDS	1491	udk_1	2.7.1.48		Uridine kinase
UBA7950_metaspades_Bin_1-contigs_00050	CDS	126				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00051	CDS	330				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00052	CDS	492				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00053	CDS	279				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00054	CDS	282	aroC_1	4.2.3.5	COG0082	Chorismate synthase
UBA7950_metaspades_Bin_1-contigs_00055	CDS	447	aroC_2	4.2.3.5		Chorismate synthase
UBA7950_metaspades_Bin_1-contigs_00056	CDS	1905				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00057	CDS	411				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00058	CDS	1710	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
UBA7950_metaspades_Bin_1-contigs_00059	CDS	279				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00060	CDS	312	hupA		COG0776	DNA-binding protein HU 1
UBA7950_metaspades_Bin_1-contigs_00061	CDS	1734	rpsA		COG0539	30S ribosomal protein S1
UBA7950_metaspades_Bin_1-contigs_00062	CDS	624	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
UBA7950_metaspades_Bin_1-contigs_00063	CDS	630	cmk	2.7.4.25	COG0283	Cytidylate kinase
UBA7950_metaspades_Bin_1-contigs_00064	CDS	843	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
UBA7950_metaspades_Bin_1-contigs_00065	CDS	783				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00066	CDS	675				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00067	CDS	273				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00068	CDS	1965	dapb3_1	3.4.14.-		Dipeptidyl aminopeptidase BIII
UBA7950_metaspades_Bin_1-contigs_00069	CDS	285				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00070	CDS	294				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00071	CDS	552	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
UBA7950_metaspades_Bin_1-contigs_00072	CDS	579				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00073	CDS	732				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00074	CDS	519				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00075	CDS	699	nanR_1			HTH-type transcriptional repressor NanR
UBA7950_metaspades_Bin_1-contigs_00076	CDS	828	punA	2.4.2.1		Purine nucleoside phosphorylase 1
UBA7950_metaspades_Bin_1-contigs_00077	CDS	456				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00078	CDS	654	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
UBA7950_metaspades_Bin_1-contigs_00079	CDS	252				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00080	CDS	834	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
UBA7950_metaspades_Bin_1-contigs_00081	CDS	714	ydfK		COG1811	putative membrane protein YdfK
UBA7950_metaspades_Bin_1-contigs_00082	CDS	1197	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
UBA7950_metaspades_Bin_1-contigs_00083	CDS	357	prfB_1			Peptide chain release factor 2
UBA7950_metaspades_Bin_1-contigs_00084	CDS	1143	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
UBA7950_metaspades_Bin_1-contigs_00085	CDS	735	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
UBA7950_metaspades_Bin_1-contigs_00086	CDS	1599	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
UBA7950_metaspades_Bin_1-contigs_00087	CDS	765		2.1.1.156		Glycine/sarcosine N-methyltransferase
UBA7950_metaspades_Bin_1-contigs_00088	CDS	642	blh	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
UBA7950_metaspades_Bin_1-contigs_00089	rRNA	104				5S ribosomal RNA
UBA7950_metaspades_Bin_1-contigs_00090	CDS	915	mamB			Magnetosome protein MamB
UBA7950_metaspades_Bin_1-contigs_00091	CDS	201	rbr		COG1592	Rubrerythrin
UBA7950_metaspades_Bin_1-contigs_00092	CDS	639		1.11.1.15	COG0450	Peroxiredoxin
UBA7950_metaspades_Bin_1-contigs_00093	CDS	498	ftnA	1.16.3.2		Bacterial non-heme ferritin
UBA7950_metaspades_Bin_1-contigs_00094	CDS	441	hrb		COG1773	High molecular weight rubredoxin
UBA7950_metaspades_Bin_1-contigs_00095	CDS	159			COG1773	Rubredoxin
UBA7950_metaspades_Bin_1-contigs_00096	CDS	165				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00097	CDS	468	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
UBA7950_metaspades_Bin_1-contigs_00098	CDS	201				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00099	CDS	348		1.15.1.2	COG2033	Putative superoxide reductase
UBA7950_metaspades_Bin_1-contigs_00100	CDS	111				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00101	CDS	558	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
UBA7950_metaspades_Bin_1-contigs_00102	CDS	1338	radA	3.6.4.-	COG1066	DNA repair protein RadA
UBA7950_metaspades_Bin_1-contigs_00103	CDS	1902	clpC_1			ATP-dependent Clp protease ATP-binding subunit ClpC
UBA7950_metaspades_Bin_1-contigs_00104	CDS	3573		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
UBA7950_metaspades_Bin_1-contigs_00105	CDS	435				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00106	CDS	468				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00107	CDS	549				hypothetical protein
UBA7950_metaspades_Bin_1-contigs_00108	CDS	1305				hypothetical protein
