locus_tag	ftype	length_bp	gene	EC_number	COG	product
Patescibacteria_metaspades_Bin_5_7-contigs_00001	CDS	117				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00002	CDS	357	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
Patescibacteria_metaspades_Bin_5_7-contigs_00003	CDS	1476	comEC_1		COG0658	ComE operon protein 3
Patescibacteria_metaspades_Bin_5_7-contigs_00004	CDS	714	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
Patescibacteria_metaspades_Bin_5_7-contigs_00005	CDS	2103	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
Patescibacteria_metaspades_Bin_5_7-contigs_00006	CDS	921	ftsZ		COG0206	Cell division protein FtsZ
Patescibacteria_metaspades_Bin_5_7-contigs_00007	CDS	1203	ftsA_1		COG0849	Cell division protein FtsA
Patescibacteria_metaspades_Bin_5_7-contigs_00008	CDS	441			COG0328	Bifunctional protein
Patescibacteria_metaspades_Bin_5_7-contigs_00009	CDS	1173	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
Patescibacteria_metaspades_Bin_5_7-contigs_00010	CDS	1122	pgk	2.7.2.3		Phosphoglycerate kinase
Patescibacteria_metaspades_Bin_5_7-contigs_00011	CDS	393	dksA			RNA polymerase-binding transcription factor DksA
Patescibacteria_metaspades_Bin_5_7-contigs_00012	CDS	1089				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00013	CDS	1326				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00014	CDS	1557				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00015	CDS	2103	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
Patescibacteria_metaspades_Bin_5_7-contigs_00016	CDS	504				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00017	CDS	270	rpsO			30S ribosomal protein S15
Patescibacteria_metaspades_Bin_5_7-contigs_00018	CDS	1800	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
Patescibacteria_metaspades_Bin_5_7-contigs_00019	CDS	1920	rnr	3.1.13.1	COG0557	Ribonuclease R
Patescibacteria_metaspades_Bin_5_7-contigs_00020	CDS	1062	ychF		COG0012	Ribosome-binding ATPase YchF
Patescibacteria_metaspades_Bin_5_7-contigs_00021	CDS	1689				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00022	CDS	780	ycdX	3.1.3.-		phosphatase YcdX
Patescibacteria_metaspades_Bin_5_7-contigs_00023	CDS	1194	gspF		COG1459	Putative type II secretion system protein F
Patescibacteria_metaspades_Bin_5_7-contigs_00024	CDS	1068	pilT		COG2805	Twitching mobility protein
Patescibacteria_metaspades_Bin_5_7-contigs_00025	CDS	1728				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00026	CDS	360				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00027	CDS	528				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00028	CDS	528				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00029	CDS	1071	ftsA_2			Cell division protein FtsA
Patescibacteria_metaspades_Bin_5_7-contigs_00030	CDS	1524	rny	3.1.-.-	COG1418	Ribonuclease Y
Patescibacteria_metaspades_Bin_5_7-contigs_00031	CDS	276				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00032	CDS	426	nusB		COG0781	Transcription antitermination protein NusB
Patescibacteria_metaspades_Bin_5_7-contigs_00033	CDS	690	rnc	3.1.26.3	COG0571	Ribonuclease 3
Patescibacteria_metaspades_Bin_5_7-contigs_00034	CDS	804	comM		COG0606	Competence protein ComM
Patescibacteria_metaspades_Bin_5_7-contigs_00035	CDS	357				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00036	CDS	2409	leuS	6.1.1.4		Leucine--tRNA ligase
Patescibacteria_metaspades_Bin_5_7-contigs_00037	CDS	747	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
Patescibacteria_metaspades_Bin_5_7-contigs_00038	CDS	402				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00039	CDS	747		2.4.-.-	COG0463	putative glycosyltransferase
Patescibacteria_metaspades_Bin_5_7-contigs_00040	CDS	441	smpB		COG0691	SsrA-binding protein
Patescibacteria_metaspades_Bin_5_7-contigs_00041	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
Patescibacteria_metaspades_Bin_5_7-contigs_00042	CDS	435	infC			Translation initiation factor IF-3
Patescibacteria_metaspades_Bin_5_7-contigs_00043	CDS	186				hypothetical protein
Patescibacteria_metaspades_Bin_5_7-contigs_00044	CDS	357	rplT		COG0292	50S ribosomal protein L20
Patescibacteria_metaspades_Bin_5_7-contigs_00045	CDS	1302				hypothetical protein
